phrase,first_lesson,occurrences,word_count,parent_count,child_count,parents,children
"Non, maintenant, je voudrais manger quelque chose.",8,2,7,9,0,je|manger|quelque chose|chose|quelque,
Mais avec qui?,8,2,3,4,0,mais|avec qui|qui|avec,
"Avec vous, Mademoiselle.",8,1,3,2,0,mademoiselle|avec,
"Bonjour. Comment allez-vous, Monsieur?",8,2,4,3,0,"monsieur|comment|comment allez-vous, monsieur",
"Bien, très bien, merci.",8,2,4,2,2,merci|très,"très bien, monsieur, merci|très bien, merci et vous"
Qu'est-ce que vous voulez faire maintenant?,8,3,6,8,1,vous|vous voulez|voulez|maintenant|qu'est-ce que,"dites-moi, marie, qu'est-ce que vous voulez faire maintenant"
Je ne sais pas. Et vous? Est-ce que vous voudriez boire quelque chose?,8,2,13,18,0,ne|vous|est-ce que|je|je ne,
"Oui, je veux bien boire quelque chose.",8,2,7,12,0,je|bien|je veux|veux|quelque chose,
Est-ce que vous voudriez boire quelque chose avec moi?,8,4,9,14,1,vous|est-ce que|moi|vous voudriez|voudriez,mais est-ce que vous voudriez boire quelque chose avec moi
"Oui, merci, je veux bien. Mais quand?",8,2,7,6,0,je|mais|je veux|veux|quand,
Où? À l'hôtel?,8,2,3,2,0,à l'hôtel|l'hôtel,
"Non, pas à l'hôtel. Au restaurant Chez Michel, s'il vous plaît.",8,2,11,13,0,vous|pas|s'il vous plaît|plaît|vous plaît,
Où est le restaurant Chez Michel?,8,3,6,8,0,michel|est|où est|où|chez,
Je ne sais pas. Et vous?,8,2,6,7,2,ne|vous|je|je ne|et vous,"je ne sais pas. et vous? est-ce que vous voudriez boire quelque chose|moi? oh, je ne sais pas. et vous"
"Oui, je sais.",8,2,3,2,1,je|je sais,"ah oui, je sais"
C'est rue Saint-Jacques.,8,3,3,4,1,saint-jacques|rue|c'est|rue saint-jacques,"c'est là-bas, rue saint-jacques"
Qu'est-ce que vous voudriez boire? Du vin ou de la bière?,8,1,11,13,0,vous|ou|vous voudriez|voudriez|qu'est-ce que,
"Moi, je voudrais boire du vin.",8,2,6,10,0,je|je voudrais|voudrais|boire|du vin,
Est-ce que vous voudriez boire aussi de la bière?,8,3,9,10,0,vous|est-ce que|vous voudriez|voudriez|boire,
"Mais oui, et je voudrais manger quelque chose. Vous aussi?",8,1,10,14,0,vous|je|et vous|et|mais,
"Oui, moi aussi. Je voudrais manger quelque chose.",8,2,8,12,0,je|moi|manger|quelque chose|chose,
"Pas maintenant, je voudrais manger plus tard.",8,3,7,11,0,je|pas|manger|je voudrais|voudrais,
"Bon, un peu plus tard. D'accord?",8,1,6,4,0,un peu|peu|plus|d'accord,
"D'accord, un peu plus tard.",8,2,5,5,0,un peu|peu|plus tard|tard|plus,
"Je voudrais acheter quelque chose, Mademoiselle.",8,3,6,6,0,je|mademoiselle|quelque|je voudrais|voudrais,
Et je voudrais manger avec vous.,8,2,6,10,0,vous|je|et vous|et|manger,
Moi aussi. Je voudrais aussi manger avec vous.,8,2,8,13,0,vous|je|moi|manger|je voudrais,
"Qu'est-ce que vous voudriez boire, du vin ou de la bière?",8,1,11,13,0,vous|ou|vous voudriez|voudriez|qu'est-ce que,
Mais oui. Et je voudrais manger quelque chose. Vous aussi?,8,1,10,12,0,vous|je|et vous|et|mais,
"Bon, un peu plus tard, d'accord?",8,1,6,4,0,un peu|peu|plus|d'accord,
D'accord. Un peu plus tard.,8,1,5,5,0,un peu|peu|plus tard|tard|plus,
"Bonjour, Marie. Comment allez-vous?",9,1,4,2,0,comment|comment allez-vous,
"Dites-moi, Marie, qu'est-ce que vous voulez faire maintenant?",9,1,8,9,0,vous|vous voulez|voulez|maintenant|qu'est-ce que,
"Moi, je voudrais déjeuner maintenant.",9,1,5,7,0,je|je voudrais|voudrais|maintenant|déjeuner,
Est-ce que vous voudriez déjeuner avec moi?,9,2,7,9,0,vous|est-ce que|moi|vous voudriez|voudriez,
Où est le restaurant Chez Jacques?,9,2,6,9,0,jacques|est|où est|où|chez,
"Oui, d'accord.",9,2,2,1,1,d'accord,"oui, mais je voudrais déjeuner au restaurant chez jacques. d'accord"
"Bien, Michel, merci.",9,1,3,1,0,merci,
"Moi? Oh, je ne sais pas. Et vous?",9,1,8,8,0,ne|vous|je|je ne|et vous,
"Oui, mais je voudrais déjeuner au restaurant chez Jacques. D'accord?",9,1,10,13,0,je|mais|je voudrais|voudrais|chez,
"C'est là-bas, boulevard Saint-Michel.",9,1,4,3,0,saint-michel|boulevard|c'est,
Et je voudrais aussi boire du vin. D'accord?,9,1,8,9,0,je|et|je voudrais|voudrais|boire,
Est-ce que vous savez où est la rue Saint-Jacques?,9,1,9,14,0,vous|est-ce que|saint-jacques|la rue|rue,
Savez-vous où est la rue Saint-Jacques?,9,1,6,11,0,saint-jacques|la rue|rue|la rue saint-jacques|est,
Dites-moi.,9,1,1,0,1,,mais dites-moi
Est-ce que vous voudriez aussi déjeuner?,9,2,6,6,0,vous|est-ce que|vous voudriez|voudriez|aussi,
"Non, pas moi.",9,2,3,2,0,pas|moi,
Je voudrais acheter du vin.,9,3,5,8,0,je|je voudrais|voudrais|du vin|vin,
Ou de la bière.,9,2,4,3,3,ou|de la bière|bière,"du vin ou de la bière|qu'est-ce que vous voudriez boire? du vin ou de la bière|qu'est-ce que vous voudriez boire, du vin ou de la bière"
Je voudrais boire quelque chose avec vous.,9,2,7,12,0,vous|je|quelque chose|chose|quelque,
Mais pas ici.,9,2,3,4,0,pas|mais|ici|pas ici,
"Et pas là-bas, à l'hôtel.",9,2,5,4,0,pas|et|à l'hôtel|l'hôtel,
"Non, pas à l'hôtel.",9,2,4,3,0,pas|à l'hôtel|l'hôtel,
Je voudrais boire quelque chose chez vous.,9,2,7,12,0,vous|je|quelque chose|chose|quelque,
"D'accord, mais je voudrais aussi déjeuner.",9,4,6,7,0,je|mais|je voudrais|voudrais|aussi,
À quelle heure?,9,19,3,3,2,heure|quelle|quelle heure,je ne sais pas à quelle heure|à quelle heure est-ce que vous voudriez manger? à huit heures
Heure.,9,3,1,0,15,,à quelle heure|quelle heure|une heure|à une heure|à une heure ou à deux heures
Quelle.,9,2,1,0,19,,"à quelle heure|quelle heure|à quelle heure, monsieur|je ne sais pas à quelle heure|oui, mais à quelle heure? à deux heures"
Quelle heure?,9,2,2,2,8,heure|quelle,"à quelle heure|je ne sais pas à quelle heure|quelle heure est-il|quelle heure est-il, monsieur|quelle heure est-il, s'il vous plaît"
"À quelle heure, Monsieur?",9,1,4,2,0,monsieur|quelle,
Une heure.,9,7,2,2,4,heure|une,à une heure|à une heure ou à deux heures|pas à une heure et pas à deux heures|il est une heure maintenant
Une.,9,4,1,0,33,,"une heure|à une heure|à une heure ou à deux heures|mais à une heure, d'accord|pas à une heure et pas à deux heures"
À une heure.,9,8,3,3,2,heure|une heure|une,à une heure ou à deux heures|pas à une heure et pas à deux heures
Neuf heures.,9,7,2,1,11,neuf,"à neuf heures|non, à neuf heures|ou à neuf heures|à huit heures ou à neuf heures|pas à huit heures et pas à neuf heures"
Neuf.,9,2,1,0,13,,"neuf heures|à neuf heures|non, à neuf heures|ou à neuf heures|à huit heures ou à neuf heures"
À neuf heures.,9,5,3,2,9,neuf heures|neuf,"non, à neuf heures|ou à neuf heures|à huit heures ou à neuf heures|pas à huit heures et pas à neuf heures|oh, je comprends. à huit heures ou à neuf heures"
Huit.,9,10,1,0,18,,"huit heures|à huit heures|plus tard, à huit heures|à huit heures ou à neuf heures|pas à huit heures et pas à neuf heures"
Huit heures.,9,5,2,1,13,huit,"à huit heures|plus tard, à huit heures|à huit heures ou à neuf heures|pas à huit heures et pas à neuf heures|oh, je comprends. à huit heures ou à neuf heures"
À huit heures?,9,7,3,2,10,huit|huit heures,"plus tard, à huit heures|à huit heures ou à neuf heures|pas à huit heures et pas à neuf heures|oh, je comprends. à huit heures ou à neuf heures|mais non, à huit heures"
"Non, à neuf heures.",9,5,4,3,0,neuf heures|neuf|à neuf heures,
Deux heures.,9,2,2,1,9,deux,"à deux heures|à une heure ou à deux heures|pas à une heure et pas à deux heures|oui, mais à quelle heure? à deux heures|d'accord, à deux heures"
À deux heures.,9,4,3,2,7,deux|deux heures,"à une heure ou à deux heures|pas à une heure et pas à deux heures|oui, mais à quelle heure? à deux heures|d'accord, à deux heures|non, pas à deux heures. à trois heures"
À une heure ou à deux heures?,9,2,7,9,0,ou|deux|heure|une heure|une,
Je ne sais pas à quelle heure.,9,1,7,10,0,ne|je|pas|je ne|je ne sais pas,
"À deux heures, d'accord?",9,2,4,2,0,d'accord|deux,
D'accord. Chez moi.,9,2,3,3,0,moi|chez moi|chez,
"Où est l'Hôtel Saint-Jacques, s'il vous plaît?",9,2,7,9,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"C'est là-bas, rue Saint-Jacques.",9,2,4,5,0,saint-jacques|rue|c'est|rue saint-jacques|c'est rue saint-jacques,
"Est-ce que vous voudriez boire quelque chose avec moi, Mademoiselle?",9,1,10,13,0,vous|est-ce que|mademoiselle|vous voudriez|voudriez,
Pas Mademoiselle. Madame.,9,1,3,2,0,pas|madame,
Mais est-ce que vous voudriez boire quelque chose avec moi?,9,1,10,16,0,vous|est-ce que|moi|mais|vous voudriez,
"Non merci, Monsieur.",9,2,3,3,0,"non|monsieur|merci, monsieur",
Et pas plus tard.,9,2,4,6,0,pas|et|plus tard|tard|plus,
"Mais à une heure, d'accord?",9,2,5,3,0,mais|d'accord|une,
"Non merci, je ne veux pas.",9,1,6,8,0,ne|non|je|pas|je ne,
"Plus tard, à huit heures.",9,2,5,4,0,plus|huit|huit heures|à huit heures,
Ou à neuf heures.,9,2,4,4,2,ou|neuf heures|neuf|à neuf heures,"à huit heures ou à neuf heures|oh, je comprends. à huit heures ou à neuf heures"
Absolument pas.,9,2,2,2,0,pas|absolument,
Absolument.,9,1,1,0,1,,absolument pas
"Non, Monsieur, je ne veux pas boire quelque chose avec vous.",9,2,11,15,0,ne|vous|je|pas|je ne,
Je comprends maintenant.,9,3,3,4,4,je|comprends|je comprends|maintenant,"ah, je comprends maintenant|oui, je comprends maintenant|je vous comprends maintenant|oh! je comprends maintenant"
"Ah, je comprends maintenant.",9,1,4,5,0,je|comprends|je comprends|maintenant|je comprends maintenant,
"Très bien, vous comprenez maintenant.",9,1,5,5,0,comprenez|vous comprenez|vous|très|maintenant,
Oui. Vous ne voulez pas boire quelque chose avec moi.,9,2,10,14,0,ne|vous|pas|moi|vous voulez,
Mais vous voudriez manger quelque chose avec moi.,9,2,8,13,0,vous|moi|mais|vous voudriez|voudriez,
À huit heures ou à neuf heures?,9,2,7,8,1,ou|neuf heures|neuf|à neuf heures|huit,"oh, je comprends. à huit heures ou à neuf heures"
Pas à une heure et pas à deux heures.,9,2,9,9,0,pas|et|deux|heure|une heure,
Pas à huit heures et pas à neuf heures.,9,2,9,9,0,pas|et|neuf heures|neuf|à neuf heures,
"Vous ne comprenez pas, Monsieur.",9,2,5,5,0,comprenez|ne|vous comprenez|vous|monsieur,
Qu'est-ce que je ne comprends pas?,9,3,6,9,0,ne|je|comprends|je comprends|je ne comprends pas,
"Vous ne comprenez pas le français, Monsieur.",9,2,7,7,0,comprenez|ne|vous comprenez|vous|monsieur,
Vous avez.,9,2,2,1,32,vous,"vous savez, vous avez|vous avez combien de francs|vous avez combien de dollars|est-ce que vous avez seize francs|est-ce que vous avez cinq dollars"
"Vous savez, vous avez.",9,2,4,2,0,vous|vous avez,
Vous n'avez pas de vin.,9,1,5,4,0,vous|pas|vin|pas de vin,
Vous ne comprenez pas.,9,2,4,5,4,comprenez|ne|vous comprenez|vous|pas,"vous ne comprenez pas l'anglais|vous ne comprenez pas le français, monsieur|non, mademoiselle, vous ne comprenez pas|qu'est-ce que vous ne comprenez pas"
"Ici, on parle français.",9,1,4,2,0,français|parle,
Où est le boulevard?,9,2,4,5,4,est|où est|le boulevard|boulevard|où,"où est le boulevard saint-michel|où est le boulevard saint-michel, s'il vous plait|où est le boulevard saint-michel, s'il vous plaît|est-ce que vous savez où est le boulevard"
Est-ce que le boulevard est ici?,9,2,6,5,0,est-ce que|est|le boulevard|boulevard|ici,
Où est Jacques?,9,1,3,4,1,jacques|est|où est|où,où est le restaurant chez jacques
Jacques n'est pas ici.,9,1,4,4,0,pas|jacques|ici|pas ici,
Il est là-bas.,9,2,3,3,1,est|là-bas|il est,mon mari? il est là-bas
"Non, il n'est pas là-bas.",9,1,5,3,0,"pas|là-bas|non, pas là-bas",
"Jacques, je voudrais manger avec vous. D'accord?",10,1,7,7,0,je|manger|je voudrais|voudrais|je voudrais manger,
"Oui, mais à quelle heure? À deux heures?",10,1,8,5,0,mais|deux|quelle|deux heures|à deux heures,
"Mais non, plus tard. Bien plus tard.",10,1,7,6,0,bien|mais|plus tard|tard|plus,
"Oh, je comprends. À huit heures ou à neuf heures?",10,1,10,10,0,je|ou|neuf heures|neuf|à neuf heures,
"Oui, à neuf heures.",10,1,4,3,0,neuf heures|neuf|à neuf heures,
D'accord. Au revoir.,10,2,3,2,0,au revoir|au,
"Mais non, à huit heures.",10,1,5,5,0,"mais|huit|huit heures|à huit heures|non, à huit heures",
"D'accord, à deux heures.",10,1,4,3,0,deux|deux heures|à deux heures,
"Non, Mademoiselle, vous ne comprenez pas.",10,1,6,6,0,comprenez|ne|vous comprenez|vous|pas,
Non merci. Je voudrais manger quelque chose.,10,1,7,10,0,non|je|manger|quelque chose|chose,
Avec moi?,10,2,2,2,11,moi|avec,est-ce que vous voudriez boire quelque chose avec moi|moi aussi. je voudrais aussi manger avec vous|est-ce que vous voudriez déjeuner avec moi|mais est-ce que vous voudriez boire quelque chose avec moi|oui. vous ne voulez pas boire quelque chose avec moi
Quelle heure est-il?,10,9,3,4,2,heure|quelle|quelle heure|est-il,quelle heure est-il maintenant|quelle heure est-il s'il vous plaît
Est-il?,10,1,1,0,4,,quelle heure est-il|quelle heure est-il maintenant|quelle heure est-il s'il vous plaît|et où est-il
Il est.,10,1,2,1,24,est,"il est là-bas|il est neuf heures|il est deux heures|il est cinq heures|il est cinq heures, monsieur"
Il est neuf heures.,10,2,4,4,0,est|neuf heures|neuf|il est,
Il est deux heures.,10,3,4,4,0,est|deux|deux heures|il est,
Il est cinq heures.,10,5,4,4,0,est|il est|cinq|cinq heures,
Cinq.,10,1,1,0,21,,"il est cinq heures|il est cinq heures, monsieur|cinq heures|je vais manger à cinq heures|est-ce que vous allez manger à cinq heures"
"Il est cinq heures, Monsieur.",10,1,5,4,0,monsieur|est|il est|cinq,
"Quelle heure est-il, Monsieur?",10,1,4,4,0,monsieur|heure|quelle|quelle heure,
Il est trois heures.,10,3,4,4,1,est|il est|trois|trois heures,"non, il est trois heures"
Trois.,10,1,1,0,21,,"il est trois heures|non, il est trois heures|trois heures|à trois heures ou à quatre heures|non, pas à deux heures. à trois heures"
Il est quatre heures.,10,4,4,4,2,est|il est|quatre|quatre heures,"il est quatre heures maintenant|non, il est quatre heures"
Quatre.,10,2,1,0,21,,"il est quatre heures|est-ce qu'il est quatre heures|quatre heures|à trois heures ou à quatre heures|trois heures? non, merci. mais à quatre heures, d'accord"
Est-ce qu'il est quatre heures?,10,1,5,3,0,est|quatre|quatre heures,
"Non, il est trois heures.",10,1,5,5,0,est|il est|il est trois heures|trois|trois heures,
Il est huit heures.,10,2,4,4,1,est|huit|huit heures|il est,"mais non, il est huit heures"
Quatre heures.,10,2,2,1,8,quatre,"il est quatre heures|est-ce qu'il est quatre heures|à trois heures ou à quatre heures|non, pas à quatre heures, à cinq heures|non, pas à quatre heures. à cinq heures"
Cinq heures.,10,3,2,1,6,cinq,"il est cinq heures|je vais manger à cinq heures|est-ce que vous allez manger à cinq heures|non, pas à quatre heures, à cinq heures|non, pas à quatre heures. à cinq heures"
Trois heures.,10,1,2,1,5,trois,"il est trois heures|non, il est trois heures|à trois heures ou à quatre heures|non, pas à deux heures. à trois heures|aujourd'hui, je vais manger à trois heures"
"Quelle heure est-il, s'il vous plaît?",10,2,6,8,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"Je ne sais pas, mais je voudrais manger quelque chose.",10,1,10,14,0,ne|je|je ne|mais|je sais,
"Non, je vais déjeuner maintenant.",10,1,5,6,0,"je|maintenant|non, maintenant|déjeuner|je vais",
Je vais.,10,2,2,1,77,je,"je vais bien|je vais bien, merci|non, je ne vais pas bien|je ne vais pas bien|non, je ne vais pas très bien"
Vous allez manger.,10,2,3,3,4,vous|vous allez|manger,est-ce que vous allez manger|est-ce que vous allez manger à cinq heures|vous allez manger aujourd'hui|mais vous allez manger quelque chose
Est-ce que vous allez manger?,10,1,5,5,1,vous|est-ce que|vous allez|manger|vous allez manger,est-ce que vous allez manger à cinq heures
"Oui, je vais manger maintenant.",10,1,5,5,0,je|manger|maintenant|je vais|je vais manger,
Je vais. Je veux.,10,1,4,3,0,je|je veux|veux,
Je vais manger à cinq heures.,10,1,6,6,0,je|manger|cinq|cinq heures|je vais,
Est-ce que vous allez manger à cinq heures?,10,1,8,8,0,vous|est-ce que|vous allez|manger|cinq,
"Non, à huit heures.",10,1,4,3,1,huit|huit heures|à huit heures,"mais non, à huit heures"
Mais je vais boire quelque chose.,10,1,6,8,0,je|mais|quelque chose|chose|quelque,
À trois heures ou à quatre heures?,10,1,7,6,0,ou|trois|quatre|quatre heures|trois heures,
"Moi, je vais boire quelque chose à neuf heures.",10,1,9,11,0,je|quelque chose|chose|quelque|boire,
Quelle heure est-il maintenant?,10,4,4,6,0,maintenant|heure|quelle|quelle heure|quelle heure est-il,
Il est une heure maintenant.,10,2,5,6,0,est|maintenant|heure|une heure|une,
"Merci, je vais déjeuner.",10,1,4,3,0,je|déjeuner|je vais,
"Oui, je vais bien.",10,1,4,4,0,je|bien|je vais bien|je vais,
"Oui, je vais bien, merci.",10,1,5,5,0,"je|merci|je vais bien, merci|oui, merci|je vais",
"Pardon, est-ce que vous voudriez manger avec moi?",10,1,8,9,0,vous|est-ce que|moi|vous voudriez|voudriez,
Je vais bien. Je veux bien.,10,1,6,8,0,je|bien|je vais bien|je veux|veux,
"Je vais bien, je veux bien.",10,1,6,8,0,je|bien|je vais bien|je veux|veux,
À quelle heure est-ce que vous voudriez manger? À huit heures?,10,1,11,11,0,vous|est-ce que|vous voudriez|voudriez|à quelle heure,
"Non, pas à neuf heures. À deux heures, voudriez-vous?",10,1,9,3,0,pas|deux|neuf,
"Non, pas à deux heures. À trois heures.",10,1,8,6,0,pas|deux|deux heures|à deux heures|trois,
"Trois heures? Non, merci. Mais à quatre heures, d'accord?",10,1,9,4,0,mais|d'accord|trois|quatre,
"Non, pas à quatre heures, à cinq heures.",10,1,8,6,0,pas|cinq|quatre|quatre heures|cinq heures,
"Non, pas à quatre heures. À cinq heures.",10,1,8,6,0,pas|cinq|quatre|quatre heures|cinq heures,
"Non, pas moi, pas à cinq heures.",10,1,7,3,0,pas|cinq|cinq heures,
Quand est-ce que vous voudriez déjeuner?,10,1,6,6,0,vous|est-ce que|vous voudriez|voudriez|quand,
"Est-ce que vous voudriez déjeuner, oui ou non?",10,1,8,7,0,vous|est-ce que|non|oui|ou,
"Oui, mais quand?",10,1,3,2,1,mais|quand,"oui, merci, je veux bien. mais quand"
Je vais déjeuner maintenant.,10,1,4,4,1,je|maintenant|déjeuner|je vais,"non, je vais déjeuner maintenant"
Est-ce que vous allez déjeuner avec moi?,10,1,7,8,0,vous|est-ce que|moi|vous allez|déjeuner,
"Oui, je vais déjeuner avec vous.",10,1,6,7,0,vous|je|déjeuner|avec|avec vous,
"Mais quand, Mademoiselle?",10,1,3,2,0,mademoiselle|mais,
"Plus tard, Monsieur. Plus tard.",10,1,5,3,0,plus tard|tard|plus,
C'est cinq.,10,1,2,2,1,c'est|cinq,"c'est cinq dollars, monsieur"
Son pain.,10,1,2,0,0,,
Je garde ce nom.,10,1,4,2,0,je|ce,
Je le garde.,10,1,3,1,0,je,
Je garde la place.,10,1,4,2,0,je|je la garde,
Je la garde.,10,1,3,1,1,je,je garde la place
Je le veux.,10,1,3,3,1,je|je veux|veux,je le veux un peu
Est-ce que vous le voulez?,10,1,5,5,0,vous|est-ce que|vous voulez|voulez|est-ce que vous voulez,
Je ne veux pas manger.,10,1,5,9,1,ne|je|pas|je ne|je veux,"mais moi, je ne veux pas manger"
Je le veux un peu.,10,1,5,6,0,je|un peu|peu|je veux|veux,
Pou?,10,1,1,0,0,,
Est-ce que vous boudez?,10,1,4,2,0,vous|est-ce que,
Est-ce que vous allez déjeuner maintenant?,11,1,6,5,0,vous|est-ce que|vous allez|maintenant|déjeuner,
"Non, je vais manger plus tard.",11,1,6,8,0,je|manger|plus tard|tard|plus,
Je vais manger.,11,1,3,3,7,je|manger|je vais,"oui, je vais manger maintenant|je vais manger à cinq heures|non, je vais manger plus tard|je vais manger plus tard|à cinq heures, je vais manger"
Je vais manger plus tard.,11,1,5,7,1,je|manger|plus tard|tard|plus,"non, je vais manger plus tard"
Je vais boire du vin plus tard.,11,1,7,10,0,je|boire|plus tard|tard|plus,
Il est quatre heures maintenant.,11,1,5,6,0,est|maintenant|il est|il est quatre heures|quatre,
Je vais déjeuner à deux heures.,11,1,6,6,0,je|déjeuner|deux|deux heures|à deux heures,
Quand? Maintenant?,11,1,2,1,0,maintenant,
"Mais non, pas maintenant.",11,1,4,5,1,"pas|mais|maintenant|pas maintenant|non, maintenant","non, monsieur, pas maintenant. plus tard, s'il vous plaît. mais je voudrais boire quelque chose maintenant"
À six heures.,11,2,3,0,4,,"à six heures ou à sept heures|pas à six heures|non, à six heures ou à sept heures|je vais dîner à six heures"
"À six heures, Mademoiselle.",11,1,4,1,0,mademoiselle,
Ou à sept heures.,11,1,4,2,2,ou|à sept heures,"à six heures ou à sept heures|non, à six heures ou à sept heures"
À sept heures.,11,2,3,0,5,,"ou à sept heures|à six heures ou à sept heures|alors, à sept heures|non, à six heures ou à sept heures|demain soir à sept heures"
À six heures ou à sept heures.,11,2,7,5,1,ou|à six heures|ou à sept heures|à sept heures|six heures ou sept heures,"non, à six heures ou à sept heures"
Pas à six heures.,11,1,4,2,0,pas|à six heures,
"Alors, à cette heure.",11,1,4,1,0,heure,
Alors.,11,2,1,0,0,,
"Alors, à huit heures.",11,1,4,3,1,huit|huit heures|à huit heures,"alors, à huit heures chez moi"
Ce soir.,11,5,2,2,7,ce|soir,"je vais dîner ce soir|je voudrais dîner ce soir|je voudrais dîner avec vous ce soir|pas ce soir, mais demain soir|qu'est-ce que vous voulez faire ce soir"
Dîner.,11,1,1,0,10,,"je vais dîner ce soir|je voudrais dîner ce soir|demain, je vais dîner avec vous|est-ce que vous voudriez dîner avec moi aujourd'hui|moi, je vais dîner maintenant"
Je vais dîner ce soir.,11,1,5,6,1,je|ce|je vais|ce soir|dîner,"je vais dîner avec mon mari, ce soir"
Je voudrais dîner ce soir.,11,1,5,7,1,je|ce|je voudrais|voudrais|ce soir,je voudrais dîner avec vous ce soir
"Alors, à sept heures.",11,1,4,1,0,à sept heures,
À dix heures.,11,2,3,0,2,,"alors, à dix heures|non, à dix heures"
Demain.,11,4,1,0,14,,"et demain|demain soir|demain soir à sept heures|pas aujourd'hui, demain|aujourd'hui et aussi demain"
Et demain?,11,2,2,2,1,et|demain,aujourd'hui et aussi demain
"Demain, je vais dîner avec vous.",11,1,6,6,0,vous|je|avec|avec vous|je vais,
À quatre heures.,11,1,3,2,3,quatre|quatre heures,"à trois heures ou à quatre heures|non, pas à quatre heures, à cinq heures|non, pas à quatre heures. à cinq heures"
"Non, à six heures ou à sept heures.",11,1,8,6,0,ou|à six heures|ou à sept heures|à sept heures|à six heures ou à sept heures,
Pas à neuf heures.,11,1,4,4,1,pas|neuf heures|neuf|à neuf heures,pas à huit heures et pas à neuf heures
"Alors, à dix heures.",11,1,4,1,0,à dix heures,
Soir.,11,1,1,0,14,,ce soir|je vais dîner ce soir|je voudrais dîner ce soir|demain soir|demain soir à sept heures
Demain soir.,11,4,2,2,4,demain|soir,"demain soir à sept heures|pas ce soir, mais demain soir|alors, demain soir|pas demain soir"
Demain soir à sept heures.,11,1,5,5,0,à sept heures|demain|soir|demain soir|à demain,
"Non, à dix heures.",11,1,4,1,0,à dix heures,
Aujourd'hui.,11,4,1,0,11,,"est-ce que vous voudriez dîner avec moi aujourd'hui|aujourd'hui et aussi demain|comment allez-vous aujourd'hui|je ne vais pas boire aujourd'hui|non, pas aujourd'hui"
Écouter.,11,1,1,0,0,,
Répéter.,11,1,1,0,1,,écoutez! je vais répéter
Est-ce que vous voudriez dîner avec moi aujourd'hui?,11,1,8,11,0,vous|est-ce que|moi|vous voudriez|voudriez,
"Pas aujourd'hui, demain.",11,1,3,2,0,pas|demain,
"Moi, je vais dîner maintenant.",11,1,5,4,0,je|maintenant|je vais|dîner,
Aujourd'hui et aussi demain.,11,1,4,5,0,et|aussi|demain|et demain|aujourd'hui,
"Il est dix heures, Mademoiselle.",11,1,5,3,0,mademoiselle|est|il est,
Je voudrais dîner avec vous ce soir.,11,1,7,11,0,vous|je|ce|je voudrais|voudrais,
"Pas ce soir, mais demain soir.",11,1,6,8,0,pas|mais|ce|ce soir|demain,
"Alors, à huit heures chez moi.",11,1,6,7,0,moi|chez moi|chez|huit|huit heures,
Comment allez-vous aujourd'hui?,11,1,3,3,0,comment|comment allez-vous|aujourd'hui,
Qu'est-ce que vous voulez faire ce soir?,11,1,7,10,0,vous|ce|vous voulez|voulez|qu'est-ce que,
"Alors, demain soir?",11,1,3,3,0,demain|soir|demain soir,
Je vais dîner à six heures.,11,1,6,4,0,je|je vais|à six heures|dîner,
"Je voudrais du vin, s'il vous plaît.",11,1,7,9,0,vous|je|s'il vous plaît|plaît|vous plaît,
"Répétez, s'il vous plaît.",11,2,4,5,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"D'accord, mais écoutez.",11,1,3,1,0,mais,
À demain.,11,1,2,1,2,demain,demain soir à sept heures|je vais à paris demain
Pas plus tard?,12,1,3,4,3,pas|plus tard|tard|plus,"pas maintenant, plus tard|pas maintenant, je voudrais manger plus tard|et pas plus tard"
Il est dix heures maintenant.,12,1,5,3,0,est|maintenant|il est,
"Non, il est quatre heures.",12,1,5,5,0,est|il est|il est quatre heures|quatre|quatre heures,
"À cinq heures, je vais manger.",12,1,6,5,0,je|manger|cinq|je vais|je vais manger,
"Oui, avec vous.",12,1,3,3,1,vous|avec|avec vous,"oui, je vais déjeuner avec vous"
Je vais manger avec vous.,12,1,5,7,0,vous|je|manger|avec|avec vous,
"Oui, je voudrais aussi manger.",12,1,5,8,1,"je|manger|je voudrais|voudrais|oui, je voudrais manger","mais oui, et je voudrais manger quelque chose. vous aussi"
Est-ce que vous allez boire du vin?,12,1,7,7,0,vous|est-ce que|vous allez|boire|du vin,
"Non, je vais boire de la bière.",12,1,7,5,0,je|boire|de la bière|bière|je vais,
Je ne vais pas boire aujourd'hui.,12,1,6,7,0,ne|je|pas|je ne|boire,
Vous n'allez pas boire?,12,1,4,3,0,vous|pas|boire,
"Non, pas aujourd'hui.",12,1,3,2,0,pas|aujourd'hui,
"Aujourd'hui, je vais manger à trois heures.",12,1,7,6,0,je|manger|trois|trois heures|je vais,
Ou à deux heures.,12,1,4,4,1,ou|deux|deux heures|à deux heures,à une heure ou à deux heures
Combien?,12,2,1,0,35,,je vous dois combien|je vous dois combien aujourd'hui|vous avez combien de francs|combien de francs|vous avez combien de dollars
Je vous dois combien?,12,10,4,5,1,vous|je|combien|je dois|je vous dois,je vous dois combien aujourd'hui
Je dois.,12,2,2,1,8,je,"je vous dois combien|je vous dois|je vous dois combien, s'il vous plaît|je vous dois combien aujourd'hui|est-ce que je vous dois cinq francs"
